"Date & Time","use [kW]","gen [kW]","12:FurnaceHRV [kW]","12:FurnaceHRV* [kVA]","13:CellarOutlets [kW]","13:CellarOutlets* [kVA]","14:WashingMachine [kW]","14:WashingMachine* [kVA]","15:FridgeRange [kW]","15:FridgeRange* [kVA]","16:DisposalDishwasher [kW]","16:DisposalDishwasher* [kVA]","17:Microwave [kW]","17:Microwave* [kVA]","18:KitchenLights [kW]","18:KitchenLights* [kVA]","19:BedroomOutlets [kW]","19:BedroomOutlets* [kVA]","20:BedroomLights [kW]","20:BedroomLights* [kVA]","21:MasterOutlets [kW]","21:MasterOutlets* [kVA]","22:MasterLights [kW]","22:MasterLights* [kVA]","23:DuctHeaterHRV [kW]","23:DuctHeaterHRV* [kVA]"
2013-07-24 23:00:00,-0.000000000,-0.000000000,-0.030337500,0.052668333,-0.089250000,0.108720833,-0.005567500,0.013234722,-0.185291111,0.234612778,-0.005082222,0.032076111,-0.003463056,0.004544167,-0.011944167,0.018720000,-0.076585278,0.077581944,-0.004881944,0.011151667,-0.049015833,0.056741389,-0.008789167,0.045486389,-0.000998611,0.002183333
2013-07-24 22:00:00,-0.000000000,-0.000000000,-0.030371389,0.053128889,-0.096721389,0.115468611,-0.005516944,0.014469444,-0.110645833,0.196643889,-0.005188611,0.031997222,-0.003479444,0.004679722,-0.003768056,0.008867778,-0.076321944,0.077366944,-0.004881111,0.011595556,-0.044769722,0.057016111,-0.008776667,0.045221389,-0.001002500,0.002303333
2013-07-24 21:00:00,-0.000000000,-0.000000000,-0.029933056,0.052583889,-0.073737500,0.091110556,-0.005524444,0.014023611,-0.078052500,0.129743889,-0.005126389,0.032008056,-0.003442222,0.004658333,-0.032198056,0.047634722,-0.076260278,0.077341111,-0.024090833,0.029565556,-0.045704444,0.056828889,-0.008767778,0.045111389,-0.000991389,0.002406111
2013-07-24 20:00:00,-0.000000000,-0.000000000,-0.029941111,0.052719167,-0.076306389,0.094607778,-0.005520000,0.014028611,-0.088315556,0.149660000,-0.005233056,0.032114722,-0.003461389,0.004660278,-0.003839167,0.008805556,-0.083653056,0.086024167,-0.024925833,0.030233333,-0.040373333,0.051716111,-0.010132778,0.046921944,-0.000997500,0.002319444
2013-07-24 19:00:00,-0.000000000,-0.000000000,-0.065035278,0.088553611,-0.073338611,0.091102500,-0.005583056,0.013806111,-0.063976667,0.105950000,-0.005354444,0.032841111,-0.003459722,0.004585278,-0.003928611,0.008764444,-0.096494722,0.101712778,-0.042590833,0.046734722,-0.040331667,0.050578333,-0.008822500,0.045588056,-0.000990833,0.002082500
2013-07-24 18:00:00,-0.000000000,-0.000000000,-0.054492222,0.077833333,-0.072746389,0.089667778,-0.005561389,0.013753611,-0.121749167,0.202876389,-0.005339722,0.032606389,-0.003476667,0.004675556,-0.003743056,0.008773611,-0.077531944,0.078716389,-0.012818333,0.019152222,-0.040111667,0.050325000,-0.008750278,0.045256667,-0.000995833,0.002318889
2013-07-24 17:00:00,-0.000000000,-0.000000000,-0.030013333,0.053011111,-0.072417222,0.089081944,-0.005538611,0.013566389,-0.075375556,0.122993889,-0.005161389,0.032218056,-0.049835833,0.055950556,-0.003954167,0.008897222,-0.076696389,0.077779722,-0.004915556,0.011483056,-0.040086944,0.049880278,-0.008745833,0.045478333,-0.001009722,0.002715278
2013-07-24 16:00:00,-0.000000000,-0.000000000,-0.029538889,0.051991111,-0.070985000,0.087785833,-0.005501389,0.013620000,-0.100941944,0.165944444,-0.005051944,0.031843333,-0.003432778,0.004729167,-0.003758333,0.008748611,-0.076084444,0.077148056,-0.004843056,0.011334722,-0.039840278,0.049829722,-0.008664167,0.044939444,-0.001002778,0.002617222
2013-07-24 15:00:00,-0.000000000,-0.000000000,-0.029885000,0.052840278,-0.063612222,0.079906111,-0.005514167,0.013911667,-0.072762778,0.123486111,-0.005128889,0.032129444,-0.003437778,0.004779722,-0.003844722,0.008808056,-0.076273889,0.077354444,-0.004886389,0.011511667,-0.039934167,0.050601667,-0.008746389,0.045238889,-0.001003611,0.002725556
2013-07-24 14:00:00,-0.000000000,-0.000000000,-0.029716944,0.052668333,-0.063750556,0.080336944,-0.005524722,0.013803333,-0.060470000,0.099665833,-0.005115833,0.032132500,-0.003437778,0.004824167,-0.003879167,0.008856667,-0.076297222,0.077409167,-0.006967222,0.013663056,-0.040224167,0.050747500,-0.008751667,0.045273056,-0.001005000,0.002865278
2013-07-24 13:00:00,-0.000000000,-0.000000000,-0.029687778,0.052058056,-0.060821667,0.076784167,-0.005748611,0.014316111,-0.114769722,0.190531389,-0.005098611,0.031769444,-0.003417778,0.005066389,-0.003716944,0.009000833,-0.075109722,0.076257222,-0.004854722,0.011652500,-0.039890000,0.050541944,-0.008665833,0.044766667,-0.000991944,0.003535278
2013-07-24 12:00:00,-0.000000000,-0.000000000,-0.029433056,0.051348889,-0.073781667,0.091664444,-0.043991944,0.080711389,-0.056820833,0.094056389,-0.005122500,0.031796667,-0.003381111,0.004845000,-0.003855000,0.008784722,-0.073835833,0.074898611,-0.004962500,0.011645556,-0.039629167,0.050783333,-0.009107500,0.045199444,-0.000996667,0.003081389
2013-07-24 11:00:00,-0.000000000,-0.000000000,-0.029620278,0.051718056,-0.076069167,0.093961944,-0.005510000,0.013967778,-0.077968056,0.125465833,-0.005105000,0.031931111,-0.003347778,0.005077778,-0.003913333,0.009019167,-0.073738889,0.074835000,-0.004866667,0.011686389,-0.039787778,0.050946944,-0.008703056,0.044901944,-0.001006944,0.003666111
2013-07-24 10:00:00,-0.000000000,-0.000000000,-0.029472222,0.051386111,-0.072315833,0.089451667,-0.005508611,0.013793333,-0.064803056,0.107688333,-0.005047778,0.031653333,-0.003388333,0.005033611,-0.003805000,0.008883056,-0.073864444,0.074967778,-0.004823333,0.011564167,-0.039629444,0.050241944,-0.008631944,0.044580833,-0.001003611,0.003523333
2013-07-24 09:00:00,-0.000000000,-0.000000000,-0.082478611,0.105130000,-0.076188056,0.094176667,-0.005550278,0.013996111,-0.084553611,0.140028889,-0.004999444,0.031499444,-0.003384167,0.004756389,-0.003693056,0.008665278,-0.055121389,0.056932500,-0.057479444,0.066907222,-0.043571944,0.054671667,-0.008655556,0.044244722,-0.000971944,0.002888056
2013-07-24 08:00:00,-0.000000000,-0.000000000,-0.038041667,0.060324167,-0.071256667,0.088358889,-0.005537222,0.014088889,-0.096767500,0.157719167,-0.515219167,0.522544167,-0.002796667,0.004273889,-0.097676389,0.102831389,-0.012931111,0.016451944,-0.007166111,0.013729167,-0.039998333,0.051485833,-0.008637778,0.043941944,-0.000921944,0.002690556
2013-07-24 07:00:00,-0.000000000,-0.000000000,-0.086700278,0.109746944,-0.061521111,0.077771111,-0.005589444,0.014020000,-0.120152500,0.188371111,-0.020603056,0.045697778,-0.063507500,0.069668611,-0.249943889,0.255573611,-0.012822222,0.016345556,-0.036133056,0.045981944,-0.040011111,0.051403889,-0.041164444,0.084361389,-0.000886667,0.002627500
2013-07-24 06:00:00,-0.000000000,-0.000000000,-0.029126111,0.050895278,-0.062402778,0.079292778,-0.005512778,0.013982500,-0.079587500,0.133106389,-0.005725833,0.031665833,-0.022996389,0.026278889,-0.028735556,0.033815833,-0.085661389,0.090238333,-0.023338611,0.027501389,-0.456625000,0.475735833,-0.016731111,0.054893889,-0.001170833,0.002465556
2013-07-24 05:00:00,-0.000000000,-0.000000000,-0.028705833,0.049082222,-0.103098611,0.123407778,-0.005511667,0.013465833,-0.053027778,0.089299444,-0.005723333,0.031227778,-0.003216944,0.004301944,-0.004025833,0.008585278,-0.128013056,0.133751667,-0.006663889,0.011681389,-0.485737222,0.502524167,-0.008576389,0.044497500,-0.001222222,0.002110833
2013-07-24 04:00:00,-0.000000000,-0.000000000,-0.028662222,0.048877778,-0.098868611,0.118947500,-0.005504444,0.013623611,-0.058890000,0.098498056,-0.005713611,0.031155556,-0.003199167,0.004340278,-0.004022778,0.008640000,-0.131096389,0.137030000,-0.006641944,0.011727222,-0.482046667,0.499212778,-0.008569167,0.044542500,-0.001220833,0.002260556
2013-07-24 03:00:00,-0.000000000,-0.000000000,-0.028473889,0.048120278,-0.099640000,0.118326667,-0.005507500,0.013644722,-0.055138056,0.090856389,-0.005718333,0.030896389,-0.003169444,0.004246111,-0.004060278,0.008568333,-0.148020278,0.155034722,-0.006671389,0.011696667,-0.482150278,0.498655833,-0.008500556,0.044118333,-0.001226389,0.002086111
2013-07-24 02:00:00,-0.000000000,-0.000000000,-0.028716944,0.049798333,-0.070948333,0.088121389,-0.005519444,0.013504722,-0.066030556,0.110178056,-0.005784167,0.031371944,-0.003222778,0.004363889,-0.004184167,0.008831944,-0.147233889,0.154361111,-0.006726389,0.011757500,-0.488566111,0.505911111,-0.008600833,0.044798611,-0.001224167,0.002245833
2013-07-24 01:00:00,-0.000000000,-0.000000000,-0.028824167,0.049876389,-0.075814722,0.093593611,-0.005521389,0.013398611,-0.080966944,0.134595278,-0.005929167,0.031482500,-0.003161111,0.004257500,-0.004301667,0.008718889,-0.228728056,0.241285833,-0.006896389,0.011761667,-0.485509167,0.503108611,-0.008622222,0.044993611,-0.001242222,0.002099167
2013-07-24 00:00:00,-0.000000000,-0.000000000,-0.028910278,0.050571944,-0.073136389,0.090740000,-0.005537500,0.013313611,-0.107554722,0.177610833,-0.005979444,0.031679444,-0.003212222,0.004367778,-0.004293333,0.008840278,-0.238484167,0.251850000,-0.006955833,0.011844722,-0.494033056,0.511860278,-0.008656389,0.045313889,-0.001247500,0.002279167
2013-07-23 23:00:00,-0.000000000,-0.000000000,-0.028590833,0.049267500,-0.081145833,0.099092222,-0.005515000,0.013431944,-0.194023611,0.238775833,-0.005891944,0.031310833,-0.003228611,0.004318333,-0.003931111,0.008536944,-0.200326389,0.210982222,-0.006856944,0.011784722,-0.501048611,0.517825278,-0.008563333,0.044738333,-0.001239444,0.002123889
